hypocentral_distance,hypocentre_depth,magnitude,vs30,azimuthal_gap,num_samples
531.2950988,20,6.2,154,130,1
145.3529581,20,6.2,768,130,1
216.4779703,20,6.2,775,130,1
93.79337668,20,6.2,372,130,1
167.6008432,20,6.2,326,130,1
39.17999252,20,6.2,663,130,1
246.6035965,20,6.2,559,130,1
18.50415514,20,6.2,587,130,1
79.22393066,20,6.2,380,130,1
452.6679493,20,6.2,892,130,1
231.821387,20,6.2,372,130,1
176.2056095,20,6.2,366,130,1
100.0200161,20,6.2,593,130,1
347.4748515,20,6.2,224,130,1
470.0609349,20,6.2,521,130,1
188.4676017,20,6.2,245,130,1
91.02510701,20,6.2,624,130,1
200.4297885,20,6.2,704,130,1
280.2213299,20,6.2,240,130,1
113.7563969,20,6.2,553,130,1
168.1028111,20,6.2,314,130,1
122.6511063,20,6.2,429,130,1
264.3736421,20,6.2,311,130,1
207.3707554,20,6.2,1126,130,1
27.80661423,20,6.2,525,130,1
186.9615521,20,6.2,596,130,1
280.3531664,20,6.2,133,130,1
245.2582457,20,6.2,449,130,1
367.9389046,20,6.2,608,130,1
189.4169835,20,6.2,505,130,1
57.87560838,20,6.2,385,130,1
257.6010528,20,6.2,577,130,1
